"","sample_year","cruise_id","event_code","station_id","master_station_name","gear","gear_performance","tow_type","nbs_strata","oceanographic_domain","large_marine_ecosystem","region","eq_time","eq_latitude","eq_longitude","gear_in_time","gear_in_latitude","gear_in_longitude","gear_out_time","gear_out_latitude","gear_out_longitude","haulback_time","haulback_latitude","haulback_longitude","effort","effort_units","tow_duration","species_tsn","common_name","scientific_name","lhs_code","total_catch_number","total_catch_weight"
"1",2003,"SS0301",3,20030101058,"58.75-165","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-06 22:35:00,58.7398,-164.9875,NA,NA,NA,NA,NA,NA,2003-09-06 23:05:00,58.7778,-165.0272,0.2883,"km2",30,NA,NA,NA,NA,NA,NA
"2",2003,"SS0301",3,20030101059,"59-165","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-07 01:09:00,59.0118,-164.9723,NA,NA,NA,NA,NA,NA,2003-09-07 01:39:00,58.991,-165.0202,0.2192,"km2",30,164711,"Pacific Cod","Gadus macrocephalus","A0",4,35
"3",2003,"SS0301",3,20030101060,"59.25-165","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-07 04:04:00,59.2578,-164.9752,NA,NA,NA,NA,NA,NA,2003-09-07 04:34:00,59.2348,-165.0332,0.258,"km2",30,NA,NA,NA,NA,NA,NA
"4",2003,"SS0301",3,20030101061,"59-164","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-07 16:22:00,59.0108,-163.9788,NA,NA,NA,NA,NA,NA,2003-09-07 16:52:00,58.9842,-164.0323,0.264,"km2",30,NA,NA,NA,NA,NA,NA
"5",2003,"SS0301",3,20030101062,"58.75-164","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-07 18:38:00,58.7657,-164.0007,NA,NA,NA,NA,NA,NA,2003-09-07 19:08:00,58.7248,-163.9988,0.2862,"km2",30,NA,NA,NA,NA,NA,NA
"6",2003,"SS0301",3,20030101063,"58.5-164","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-07 20:51:00,58.5203,-163.9975,NA,NA,NA,NA,NA,NA,2003-09-07 21:21:00,58.4803,-164.0002,0.2743,"km2",30,164711,"Pacific Cod","Gadus macrocephalus","A0",2,7
"7",2003,"SS0301",3,20030101064,"58.25-164","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-07 23:07:00,58.2733,-163.892,NA,NA,NA,NA,NA,NA,2003-09-07 23:37:00,58.2388,-164.0042,0.4769,"km2",30,NA,NA,NA,NA,NA,NA
"8",2003,"SS0301",3,20030101065,"58-164","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-08 01:36:00,58.0188,-163.995,NA,NA,NA,NA,NA,NA,2003-09-08 02:06:00,57.9843,-164.0007,0.2451,"km2",30,NA,NA,NA,NA,NA,NA
"9",2003,"SS0301",3,20030101066,"57.75-164","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-08 04:17:00,57.7535,-163.942,NA,NA,NA,NA,NA,NA,2003-09-08 04:47:00,57.7497,-164.0015,0.2172,"km2",30,NA,NA,NA,NA,NA,NA
"10",2003,"SS0301",3,20030101067,"57.5-164","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-08 15:48:00,57.515,-163.9698,NA,NA,NA,NA,NA,NA,2003-09-08 16:18:00,57.4902,-164.02,0.2548,"km2",30,NA,NA,NA,NA,NA,NA
"11",2003,"SS0301",3,20030101068,"57.25-164","CAN","S","S",0,2,"Bering Sea","SEBS",2003-09-08 18:19:00,57.2637,-163.973,NA,NA,NA,NA,NA,NA,2003-09-08 18:49:00,57.2378,-164.0335,0.2818,"km2",30,164711,"Pacific Cod","Gadus macrocephalus","A0",17,93
"12",2003,"SS0301",3,20030101069,"57-164","CAN","S","S",0,2,"Bering Sea","SEBS",2003-09-08 20:57:00,57.0078,-163.9807,NA,NA,NA,NA,NA,NA,2003-09-08 21:27:00,56.9848,-164.051,0.3179,"km2",30,NA,NA,NA,NA,NA,NA
"13",2003,"SS0301",3,20030101001,"64-164.5","CAN","S","S",6,1,"Bering Sea","NBS",2003-08-22 00:19:00,64.0825,-164.5717,NA,NA,NA,NA,NA,NA,2003-08-22 00:49:00,64.0735,-164.491,0.2221,"km2",30,NA,NA,NA,NA,NA,NA
"14",2003,"SS0301",3,20030101002,"64-163.5","CAN","S","S",6,1,"Bering Sea","NBS",2003-08-22 03:46:00,64.0687,-163.65,NA,NA,NA,NA,NA,NA,2003-08-22 04:14:00,64.0652,-163.5695,0.2158,"km2",28,NA,NA,NA,NA,NA,NA
"15",2003,"SS0301",3,20030101003,"64-166","CAN","S","S",8,1,"Bering Sea","NBS",2003-08-22 15:09:00,64.0313,-166.1247,NA,NA,NA,NA,NA,NA,2003-08-22 15:39:00,64.0692,-166.1372,0.2336,"km2",30,NA,NA,NA,NA,NA,NA
"16",2003,"SS0301",3,20030101004,"64-166.5","CAN","S","S",8,1,"Bering Sea","NBS",2003-08-22 18:04:00,63.9988,-166.4883,NA,NA,NA,NA,NA,NA,2003-08-22 18:34:00,64.01,-166.5762,0.2856,"km2",30,NA,NA,NA,NA,NA,NA
"17",2003,"SS0301",3,20030101029,"59.25-166","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-01 06:38:00,59.2597,-166.0175,NA,NA,NA,NA,NA,NA,2003-09-01 07:08:00,59.233,-165.9667,0.2515,"km2",30,NA,NA,NA,NA,NA,NA
"18",2003,"SS0301",3,20030101030,"59-166","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-01 15:46:00,59.0175,-166.0252,NA,NA,NA,NA,NA,NA,2003-09-01 16:16:00,58.99,-165.9852,0.2348,"km2",30,NA,NA,NA,NA,NA,NA
"19",2003,"SS0301",3,20030101031,"58.75-166","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-01 18:24:00,58.7682,-166.03,NA,NA,NA,NA,NA,NA,2003-09-01 18:54:00,58.7437,-165.9878,0.2318,"km2",30,NA,NA,NA,NA,NA,NA
"20",2003,"SS0301",3,20030101032,"58.5-166","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-01 21:09:00,58.5082,-166.0162,NA,NA,NA,NA,NA,NA,2003-09-01 21:39:00,58.4802,-165.9588,0.287,"km2",30,NA,NA,NA,NA,NA,NA
"21",2003,"SS0301",3,20030101033,"58.25-166","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-01 23:54:00,58.2523,-166.0055,NA,NA,NA,NA,NA,NA,2003-09-02 00:24:00,58.2197,-165.9477,0.3038,"km2",30,NA,NA,NA,NA,NA,NA
"22",2003,"SS0301",3,20030101034,"58-166","CAN","S","S",0,1,"Bering Sea","SEBS",2003-09-02 02:23:00,58.0105,-166.032,NA,NA,NA,NA,NA,NA,2003-09-02 02:53:00,57.9898,-165.969,0.2716,"km2",30,NA,NA,NA,NA,NA,NA
"23",2003,"SS0301",3,20030101035,"57.5-166","CAN","S","S",0,2,"Bering Sea","SEBS",2003-09-02 15:45:00,57.5015,-166.0377,NA,NA,NA,NA,NA,NA,2003-09-02 16:15:00,57.499,-165.9757,0.2242,"km2",30,NA,NA,NA,NA,NA,NA
"24",2003,"SS0301",3,20030101036,"57-166","CAN","S","S",0,2,"Bering Sea","SEBS",2003-09-02 20:33:00,56.9995,-166.0325,NA,NA,NA,NA,NA,NA,2003-09-02 21:03:00,57.0005,-165.9528,0.294,"km2",30,164711,"Pacific Cod","Gadus macrocephalus","A0",12,146
"25",2003,"SS0301",3,20030101037,"56.5-166","CAN","S","S",0,2,"Bering Sea","SEBS",2003-09-03 00:49:00,56.5117,-165.9695,NA,NA,NA,NA,NA,NA,2003-09-03 01:19:00,56.4885,-166.0273,0.2647,"km2",30,NA,NA,NA,NA,NA,NA
"26",2003,"SS0301",3,20030101038,"56-166","CAN","S","S",0,4,"Bering Sea","SEBS",2003-09-03 04:56:00,56.0137,-165.9795,NA,NA,NA,NA,NA,NA,2003-09-03 05:26:00,55.985,-166.0277,0.2682,"km2",30,NA,NA,NA,NA,NA,NA
"27",2003,"SS0301",3,20030101039,"55.5-166","CAN","S","S",0,4,"Bering Sea","SEBS",2003-09-03 16:06:00,55.5195,-165.9943,NA,NA,NA,NA,NA,NA,2003-09-03 16:36:00,55.4805,-166.0055,0.2652,"km2",30,NA,NA,NA,NA,NA,NA
"28",2003,"SS0301",3,20030101040,"55-166","CAN","S","S",0,4,"Bering Sea","SEBS",2003-09-03 20:13:00,55.0215,-165.9983,NA,NA,NA,NA,NA,NA,2003-09-03 20:43:00,54.9903,-165.9927,0.2124,"km2",30,NA,NA,NA,NA,NA,NA
"29",2003,"SS0301",3,20030101041,"54.5-166","CAN","S","S",0,3,"Bering Sea","SEBS",2003-09-04 00:27:00,54.522,-166.0058,NA,NA,NA,NA,NA,NA,2003-09-04 00:57:00,54.488,-165.994,0.2327,"km2",30,NA,NA,NA,NA,NA,NA
"30",2003,"SS0301",3,20030101042,"54.75-165","CAN","S","S",0,2,"Bering Sea","SEBS",2003-09-04 05:29:00,54.7445,-165.0023,NA,NA,NA,NA,NA,NA,2003-09-04 05:59:00,54.7847,-164.9827,0.2913,"km2",30,NA,NA,NA,NA,NA,NA
"31",2003,"SS0301",3,20030101043,"55-165","CAN","S","S",0,4,"Bering Sea","SEBS",2003-09-04 15:39:00,54.9812,-164.9922,NA,NA,NA,NA,NA,NA,2003-09-04 16:09:00,55.0195,-165.006,0.2696,"km2",30,NA,NA,NA,NA,NA,NA
